"","dateRep","day","month","year","cases","deaths","country","popData2019","continentExp"
"71","02/10/2020",2,10,2020,17,0,"Afghanistan",38041757,"Asia"
"72","01/10/2020",1,10,2020,14,0,"Afghanistan",38041757,"Asia"
"73","30/09/2020",30,9,2020,15,2,"Afghanistan",38041757,"Asia"
"74","29/09/2020",29,9,2020,12,3,"Afghanistan",38041757,"Asia"
"75","28/09/2020",28,9,2020,0,0,"Afghanistan",38041757,"Asia"
"76","27/09/2020",27,9,2020,35,0,"Afghanistan",38041757,"Asia"
"77","26/09/2020",26,9,2020,6,2,"Afghanistan",38041757,"Asia"
"78","25/09/2020",25,9,2020,16,0,"Afghanistan",38041757,"Asia"
"79","24/09/2020",24,9,2020,25,5,"Afghanistan",38041757,"Asia"
"80","23/09/2020",23,9,2020,71,2,"Afghanistan",38041757,"Asia"
"81","22/09/2020",22,9,2020,30,3,"Afghanistan",38041757,"Asia"
"82","21/09/2020",21,9,2020,0,0,"Afghanistan",38041757,"Asia"
"83","20/09/2020",20,9,2020,125,4,"Afghanistan",38041757,"Asia"
"84","19/09/2020",19,9,2020,47,1,"Afghanistan",38041757,"Asia"
"85","18/09/2020",18,9,2020,0,0,"Afghanistan",38041757,"Asia"
"86","17/09/2020",17,9,2020,17,0,"Afghanistan",38041757,"Asia"
"87","16/09/2020",16,9,2020,40,10,"Afghanistan",38041757,"Asia"
"88","15/09/2020",15,9,2020,99,6,"Afghanistan",38041757,"Asia"
"89","14/09/2020",14,9,2020,75,0,"Afghanistan",38041757,"Asia"
"90","13/09/2020",13,9,2020,35,0,"Afghanistan",38041757,"Asia"
"91","12/09/2020",12,9,2020,34,0,"Afghanistan",38041757,"Asia"
"92","11/09/2020",11,9,2020,28,0,"Afghanistan",38041757,"Asia"
"93","10/09/2020",10,9,2020,24,2,"Afghanistan",38041757,"Asia"
"94","09/09/2020",9,9,2020,26,3,"Afghanistan",38041757,"Asia"
"95","08/09/2020",8,9,2020,96,3,"Afghanistan",38041757,"Asia"
"96","07/09/2020",7,9,2020,74,2,"Afghanistan",38041757,"Asia"
"97","06/09/2020",6,9,2020,20,0,"Afghanistan",38041757,"Asia"
"98","05/09/2020",5,9,2020,16,0,"Afghanistan",38041757,"Asia"
"99","04/09/2020",4,9,2020,45,1,"Afghanistan",38041757,"Asia"
"100","03/09/2020",3,9,2020,38,3,"Afghanistan",38041757,"Asia"
"101","02/09/2020",2,9,2020,9,0,"Afghanistan",38041757,"Asia"
"102","01/09/2020",1,9,2020,34,4,"Afghanistan",38041757,"Asia"
"103","31/08/2020",31,8,2020,19,0,"Afghanistan",38041757,"Asia"
"104","30/08/2020",30,8,2020,3,0,"Afghanistan",38041757,"Asia"
"105","29/08/2020",29,8,2020,11,1,"Afghanistan",38041757,"Asia"
"106","28/08/2020",28,8,2020,3,0,"Afghanistan",38041757,"Asia"
"107","27/08/2020",27,8,2020,55,4,"Afghanistan",38041757,"Asia"
"108","26/08/2020",26,8,2020,1,0,"Afghanistan",38041757,"Asia"
"109","25/08/2020",25,8,2020,71,10,"Afghanistan",38041757,"Asia"
"110","24/08/2020",24,8,2020,0,0,"Afghanistan",38041757,"Asia"
"111","23/08/2020",23,8,2020,105,2,"Afghanistan",38041757,"Asia"
"112","22/08/2020",22,8,2020,38,0,"Afghanistan",38041757,"Asia"
"113","21/08/2020",21,8,2020,97,2,"Afghanistan",38041757,"Asia"
"114","20/08/2020",20,8,2020,160,8,"Afghanistan",38041757,"Asia"
"115","19/08/2020",19,8,2020,0,0,"Afghanistan",38041757,"Asia"
"116","18/08/2020",18,8,2020,3,0,"Afghanistan",38041757,"Asia"
"117","17/08/2020",17,8,2020,45,5,"Afghanistan",38041757,"Asia"
"118","16/08/2020",16,8,2020,120,7,"Afghanistan",38041757,"Asia"
"119","15/08/2020",15,8,2020,7,0,"Afghanistan",38041757,"Asia"
"120","14/08/2020",14,8,2020,79,9,"Afghanistan",38041757,"Asia"
"121","13/08/2020",13,8,2020,76,10,"Afghanistan",38041757,"Asia"
"122","12/08/2020",12,8,2020,215,32,"Afghanistan",38041757,"Asia"
"123","11/08/2020",11,8,2020,0,0,"Afghanistan",38041757,"Asia"
"124","10/08/2020",10,8,2020,0,0,"Afghanistan",38041757,"Asia"
"125","09/08/2020",9,8,2020,39,5,"Afghanistan",38041757,"Asia"
"126","08/08/2020",8,8,2020,78,9,"Afghanistan",38041757,"Asia"
"127","07/08/2020",7,8,2020,41,0,"Afghanistan",38041757,"Asia"
"128","06/08/2020",6,8,2020,67,4,"Afghanistan",38041757,"Asia"
"129","05/08/2020",5,8,2020,82,6,"Afghanistan",38041757,"Asia"
"130","04/08/2020",4,8,2020,37,4,"Afghanistan",38041757,"Asia"
"131","03/08/2020",3,8,2020,0,1,"Afghanistan",38041757,"Asia"
"132","02/08/2020",2,8,2020,0,0,"Afghanistan",38041757,"Asia"
"133","01/08/2020",1,8,2020,168,12,"Afghanistan",38041757,"Asia"
"134","31/07/2020",31,7,2020,71,0,"Afghanistan",38041757,"Asia"
"135","30/07/2020",30,7,2020,0,0,"Afghanistan",38041757,"Asia"
"136","29/07/2020",29,7,2020,103,1,"Afghanistan",38041757,"Asia"
"137","28/07/2020",28,7,2020,105,1,"Afghanistan",38041757,"Asia"
"138","27/07/2020",27,7,2020,106,10,"Afghanistan",38041757,"Asia"
"139","26/07/2020",26,7,2020,121,13,"Afghanistan",38041757,"Asia"
"140","25/07/2020",25,7,2020,108,35,"Afghanistan",38041757,"Asia"
"141","24/07/2020",24,7,2020,13,0,"Afghanistan",38041757,"Asia"
